taxonrank	scientificname	countrycode	locality	decimallatitude	decimallongitude	eventdate	basisofrecord	institutioncode	collectioncode	recordedby
SPECIES	Steatogenys duidae (La Monte, 1929)	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Hemigrammus analis Durbin, 1909	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Elachocharax pulcher Myers, 1927	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Hoplias Gill, 1903	BR	poças proximo ao rio Taruma	-2.901638	-60.22928	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Oxyropsis acutirostra Miranda Ribeiro, 1951	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Apistogramma Regan, 1913	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Hoplocharax goethei Géry, 1966	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Acestridium discus Haseman, 1911	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Ammocryptocharax elegans Weitzman & Kanazawa, 1976	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Hemigrammus ocellifer (Steindachner, 1882)	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Elachocharax junki (Géry, 1971)	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Pseudoplatystoma tigrinum (Valenciennes, 1840)	BR	Rio Amazonas, Santa Maria do Uruará	-1.848917	-53.478222	2015-08-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma fasciatum (Linnaeus, 1766)	BR	Rio Branco, a cima das corredeiras.	1.966083	-61.005972	2015-08-28T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
SPECIES	Pseudoplatystoma fasciatum (Linnaeus, 1766)	BR	Rio Amazonas, Fatima de Urucurituba	-2.403861	-54.745833	2015-08-21T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Cunha-Machado, A.S.
