decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	recordedBy	scientificName	stateProvince
-3.0926611	-59.9897167	1978-10-14	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-09-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1979-01-19	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-02-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-06-13	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma disYesile	Amazonas
-3.0926611	-59.9897167	1978-08-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-01-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-05-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma varium	Amazonas
-3.1452778	-60.0230556	1983-07-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Manaus, atras do 1  BIS		Ancistrus	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Pristigaster martii	Amazonas
-3.1452778	-60.0230556	1977-11-14	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro	Lamarque, P.	Nannostomus unifasciatus	Amazonas
-3.1452778	-60.0230556	1992-12-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão	Chao, L.N.	Steatogenys elegans	Amazonas
-3.1383528	-60.0240222	1978-05-15	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma varium	Amazonas
-3.1416667	-60.0244444	1989-06-08	Instituto Nacional de Pesquisas da Amazônia (INPA)	Igarapé do Beco Ajuricaba, Manaus		Hoplosternum littorale	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Hypophthalmus edentatus	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Pterodoras	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Heterocharax	Amazonas
